WRKLOSSRV,ANXIOUS,WORRY,INTEREST,DOWN,SCRAM
0.0,0.0,0.0,1.0,0.0,P030000545
0.0,1.0,1.0,0.0,1.0,P030000546
0.0,1.0,1.0,0.0,1.0,P030000547
0.0,1.0,0.0,0.0,1.0,P030000548
0.0,1.0,1.0,0.0,1.0,P030000549
0.0,0.0,0.0,1.0,0.0,P030000550
0.0,0.0,0.0,1.0,0.0,P030000551
0.0,0.0,0.0,1.0,0.0,P030000552
0.0,0.0,0.0,0.0,0.0,P030000553
1.0,1.0,0.0,0.0,1.0,P030000554
0.0,0.0,0.0,1.0,0.0,P030000555
0.0,1.0,1.0,0.0,1.0,P030000556
0.0,0.0,0.0,1.0,0.0,P030000557
0.0,0.0,0.0,1.0,0.0,P030000558
0.0,1.0,0.0,0.0,1.0,P030000559
0.0,0.0,0.0,1.0,0.0,P030000560
0.0,1.0,1.0,0.0,1.0,P030000561
0.0,0.0,0.0,1.0,0.0,P030000562
0.0,0.0,0.0,0.0,0.0,P030000563
1.0,1.0,1.0,0.0,1.0,P030000564
0.0,0.0,0.0,1.0,0.0,P030000565
0.0,0.0,0.0,1.0,0.0,P030000566
0.0,0.0,0.0,1.0,0.0,P030000567
0.0,1.0,1.0,1.0,1.0,P030000568
0.0,1.0,1.0,0.0,1.0,P030000569
0.0,0.0,0.0,1.0,0.0,P030000570
0.0,0.0,0.0,1.0,0.0,P030000571
0.0,1.0,0.0,1.0,1.0,P030000572
0.0,1.0,1.0,0.0,1.0,P030000573
0.0,1.0,1.0,1.0,0.0,P030000574
0.0,0.0,0.0,1.0,0.0,P030000575
0.0,0.0,0.0,1.0,0.0,P030000576
0.0,0.0,0.0,1.0,0.0,P030000577
0.0,0.0,0.0,1.0,0.0,P030000578
0.0,0.0,0.0,1.0,0.0,P030000580
0.0,0.0,0.0,0.0,0.0,P030000581
0.0,1.0,1.0,1.0,0.0,P030000582
0.0,1.0,1.0,0.0,1.0,P030000583
0.0,0.0,1.0,1.0,0.0,P030000584
0.0,1.0,1.0,0.0,1.0,P030000585
0.0,0.0,0.0,1.0,0.0,P030000586
0.0,1.0,0.0,1.0,1.0,P030000587
0.0,0.0,0.0,1.0,0.0,P030000588
1.0,0.0,0.0,1.0,0.0,P030000589
0.0,0.0,0.0,1.0,0.0,P030000590
0.0,0.0,0.0,1.0,0.0,P030000591
0.0,0.0,0.0,0.0,0.0,P030000592
0.0,0.0,0.0,0.0,0.0,P030000593
